DataGarrison Station - IMEI: 300534066096200
Time zone: UTC-360 minutes (Daylight Savings not considered in this live file.)
Date_Time	Wind Speed_21491169_mph	Gust Speed_21491169_mph	Wind Direction_21491169_deg	Temperature_MOD_14_0_deg_F	RH_MOD_14_1b_%	Pressure_MOD_14_2_mb	Light_MOD_14_4_lux	
12/31/25 17:00:00	3.924	12.643	297.631	30.290	49.170	638.300	2606083.840
12/31/25 18:00:00	2.616	6.104	263.937	27.302	53.730	638.080	18946.920
12/31/25 19:00:00	3.488	9.591	293.420	27.878	35.710	637.680	1.970
12/31/25 20:00:00	4.796	13.079	14.039	26.024	52.760	637.820	1.970
12/31/25 21:00:00	2.180	5.668	147.412	26.294	50.340	637.800	3.940
12/31/25 22:00:00	6.104	11.335	242.878	27.464	38.240	637.580	5.920
12/31/25 23:00:00	7.411	21.798	276.573	31.118	30.660	637.100	5.920
01/01/26 00:00:00	8.283	20.490	226.031	27.572	36.180	637.060	1.970
01/01/26 01:00:00	8.283	13.515	211.992	25.196	47.670	636.820	7.890
01/01/26 02:00:00	8.719	13.951	216.204	24.782	49.680	636.600	5.920
01/01/26 03:00:00	13.951	23.542	207.780	26.114	46.290	636.440	1.970
01/01/26 04:00:00	11.771	23.106	220.416	25.016	45.870	636.220	1.970
01/01/26 05:00:00	13.515	19.619	230.243	23.900	48.300	635.780	0.000
01/01/26 06:00:00	16.131	26.594	226.031	23.558	43.890	635.180	0.000
01/01/26 07:00:00	15.259	28.774	223.224	21.524	57.090	635.080	0.000
01/01/26 08:00:00	5.232	9.591	233.051	20.336	67.650	635.060	127.360
01/01/26 09:00:00	13.951	27.466	235.859	23.432	83.550	635.040	85167.100
01/01/26 10:00:00	10.027	21.798	224.627	23.900	91.760	635.300	369762.280
01/01/26 11:00:00	12.643	27.902	234.455	24.746	91.880	635.320	859083.920
01/01/26 12:00:00	13.515	25.286	227.435	32.000	92.050	635.040	1433329.280
01/01/26 13:00:00	10.899	20.490	237.263	25.196	92.160	634.180	1861991.200
01/01/26 14:00:00	10.899	22.234	226.031	24.584	92.330	633.540	1619352.320
01/01/26 15:00:00	12.207	20.926	230.243	23.954	92.590	633.220	1000623.360
01/01/26 16:00:00	10.027	17.439	237.263	23.450	92.790	633.200	503213.640
01/01/26 17:00:00	11.771	20.055	234.455	23.846	92.820	632.940	616445.080
01/01/26 18:00:00	7.847	18.747	221.820	23.216	92.940	632.900	11680.390
01/01/26 19:00:00	6.975	12.643	234.455	22.370	93.120	632.760	1.970
01/01/26 20:00:00	4.796	7.847	221.820	21.704	93.220	632.860	3.940
01/01/26 21:00:00	5.668	19.183	244.282	21.632	93.370	632.420	3.940
01/01/26 22:00:00	7.411	18.747	228.839	21.884	93.400	632.480	5.920
01/01/26 23:00:00	7.411	15.259	226.031	21.974	93.430	631.980	5.920
01/02/26 00:00:00	13.951	27.902	226.031	22.028	93.490	631.840	7.890
01/02/26 01:00:00	11.771	25.286	220.416	22.172	93.490	631.440	7.890
01/02/26 02:00:00	10.463	19.619	240.071	21.794	93.530	630.960	5.920
01/02/26 03:00:00	13.951	22.670	237.263	21.632	93.600	630.680	3.940
01/02/26 04:00:00	15.695	32.698	240.071	21.578	93.600	629.800	1.970
01/02/26 05:00:00	15.259	30.518	231.647	21.506	93.690	630.180	0.000
01/02/26 06:00:00	12.207	27.902	231.647	21.452	93.670	629.780	0.000
01/02/26 07:00:00	11.771	18.311	227.435	21.038	93.710	629.780	0.000
01/02/26 08:00:00	8.719	13.951	223.224	20.822	93.780	629.740	240.900
01/02/26 09:00:00	7.847	17.003	224.627	21.200	93.790	629.900	235299.900
01/02/26 10:00:00	6.975	21.362	230.243	21.344	93.760	630.160	571961.320
01/02/26 11:00:00	7.847	14.387	237.263	21.272	93.770	630.840	814600.160
01/02/26 12:00:00	5.668	9.155	217.608	23.522	93.640	631.020	1320097.840
01/02/26 13:00:00	6.104	9.591	223.224	23.630	93.580	630.740	1223042.240
01/02/26 14:00:00	16.131	30.518	261.129	22.334	93.620	630.440	1562736.640
01/02/26 15:00:00	11.771	22.670	279.380	21.074	93.310	630.980	1287745.920
01/02/26 16:00:00	13.079	28.774	308.863	20.102	93.140	631.700	1465681.120
01/02/26 17:00:00	13.951	29.210	311.671	19.544	93.770	632.120	223167.960
01/02/26 18:00:00	17.439	41.853	314.478	19.472	93.870	632.780	14839.750
01/02/26 19:00:00	8.719	39.237	332.729	18.986	93.910	633.260	1.970
01/02/26 20:00:00	9.591	32.262	331.325	18.716	93.890	633.480	5.920
01/02/26 21:00:00	9.591	30.082	331.325	18.104	93.830	633.720	9.870
01/02/26 22:00:00	12.207	30.518	356.596	17.726	93.840	634.080	12.830
01/02/26 23:00:00	9.591	22.670	349.576	16.970	93.710	634.400	12.830
01/03/26 00:00:00	15.259	23.978	345.365	16.844	93.690	634.460	11.840
01/03/26 01:00:00	5.668	16.567	294.824	16.052	93.570	634.640	7.890
01/03/26 02:00:00	2.616	6.540	189.529	16.592	93.930	634.680	7.890
01/03/26 03:00:00	3.924	10.899	248.494	17.924	93.980	634.980	7.890
01/03/26 04:00:00	8.283	14.387	258.322	18.716	94.040	635.240	9.870
01/03/26 05:00:00	6.540	13.515	252.706	17.978	93.960	635.320	7.890
01/03/26 06:00:00	7.411	16.567	259.725	18.176	93.960	635.180	5.920
01/03/26 07:00:00	4.360	10.463	237.263	17.708	93.870	635.840	1.970
01/03/26 08:00:00	3.924	10.027	255.514	18.266	93.820	635.700	825.380
01/03/26 09:00:00	10.027	18.311	248.494	19.994	92.550	635.840	887391.840
01/03/26 10:00:00	7.847	16.131	242.878	21.884	87.330	636.200	2104630.080
01/03/26 11:00:00	6.104	10.899	234.455	25.178	88.920	636.800	3139889.280
01/03/26 12:00:00	7.847	14.387	228.839	23.756	87.900	636.800	3592815.360
01/03/26 13:00:00	3.052	8.283	186.722	28.760	89.730	636.460	1950958.720
01/03/26 14:00:00	4.796	10.027	172.682	27.896	86.820	635.800	1894343.200
01/03/26 15:00:00	5.668	12.207	195.145	24.188	83.250	635.640	1465681.120
01/03/26 16:00:00	10.899	26.158	214.800	22.892	79.520	635.400	1016799.200
01/03/26 17:00:00	14.387	25.722	220.416	21.938	80.860	635.260	305058.580
01/03/26 18:00:00	12.207	21.362	227.435	22.208	67.660	635.260	14776.560
01/03/26 19:00:00	10.027	15.259	226.031	22.388	57.850	635.220	0.000
01/03/26 20:00:00	9.591	16.567	221.820	22.010	54.110	634.960	1.970
01/03/26 21:00:00	13.951	20.926	227.435	23.144	48.870	634.480	3.940
01/03/26 22:00:00	17.439	23.542	231.647	23.702	43.740	634.080	5.920
01/03/26 23:00:00	16.131	27.030	230.243	23.846	44.800	633.900	9.870
01/04/26 00:00:00	20.055	29.210	233.051	22.892	49.300	633.960	7.890
